Date,sentiment_pos,sentiment_neg,sentiment_compound
2020-01-01,0.19514285714285715,0.0,0.27862857142857145
2020-01-02,0.025500000000000002,0.0245,-0.02594
2020-01-03,0.05107692307692307,0.15192307692307694,-0.17823076923076922
2020-01-04,0.21275,0.0,0.4297
2020-01-05,0.09533333333333333,0.0,0.15293333333333334
2020-01-06,0.07170000000000001,0.016800000000000002,0.10722000000000001
2020-01-07,0.0781,0.073,-0.004539999999999995
2020-01-08,0.0762,0.0686,0.019160000000000003
2020-01-09,0.20950000000000002,0.034,0.24356999999999998
2020-01-10,0.0755,0.09916666666666667,-0.022691666666666676
2020-01-11,0.17875000000000002,0.0,0.339175
2020-01-12,0.0,0.051000000000000004,-0.068
2020-01-13,0.0219,0.0,0.06369
2020-01-14,0.0658,0.0,0.07586
2020-01-15,0.0259,0.018,0.01255
2020-01-16,0.03177777777777777,0.0,0.03777777777777778
2020-01-17,0.09516666666666668,0.0,0.16947500000000001
2020-01-18,0.0745,0.05775,0.03119999999999999
2020-01-19,0.018555555555555558,0.072,-0.07445555555555555
2020-01-20,0.0851,0.10840000000000001,-0.06246999999999999
2020-01-21,0.1682,0.10700000000000001,0.09237999999999999
2020-01-22,0.06739999999999999,0.0913,-0.05634
2020-01-23,0.014099999999999998,0.1251,-0.12157
2020-01-24,0.012733333333333334,0.03526666666666667,-0.03898
2020-01-25,0.13316666666666666,0.0265,0.21695
2020-01-26,0.08342857142857142,0.0,0.1539
2020-01-27,0.0,0.06639999999999999,-0.0725
2020-01-28,0.0937,0.0189,0.13596
2020-01-29,0.054299999999999994,0.029500000000000005,0.05525
2020-01-30,0.17250000000000001,0.034699999999999995,0.22391
2020-01-31,0.0,0.03093333333333333,-0.06976
2020-02-01,0.0,0.0,0.0
2020-02-02,0.1025,0.10066666666666667,0.014600000000000002
2020-02-03,0.07039999999999999,0.047099999999999996,0.10932
2020-02-04,0.0449,0.0,0.08632
2020-02-05,0.0,0.0,0.0
2020-02-06,0.0908,0.0,0.15334
2020-02-07,0.07230769230769231,0.012846153846153847,0.10328461538461539
2020-02-08,0.11057142857142857,0.05228571428571428,0.03061428571428571
2020-02-09,0.08283333333333333,0.0715,0.03686666666666668
2020-02-10,0.0912,0.0,0.14648999999999998
2020-02-11,0.1364,0.0,0.20239
2020-02-12,0.0828,0.0405,0.08036000000000001
2020-02-13,0.0883,0.10800000000000001,0.012589999999999999
2020-02-14,0.017636363636363638,0.05972727272727273,-0.04158181818181818
2020-02-15,0.060399999999999995,0.0,0.07636
2020-02-16,0.0,0.0315,-0.0714875
2020-02-17,0.0327,0.040799999999999996,-0.010970000000000002
2020-02-18,0.06939999999999999,0.1347,-0.09091
2020-02-19,0.1216,0.0129,0.16144
2020-02-20,0.10070000000000001,0.05800000000000001,0.11789999999999998
2020-02-21,0.027,0.06491666666666666,-0.07964166666666667
2020-02-22,0.16544444444444442,0.09988888888888889,0.09032222222222223
2020-02-23,0.12577777777777777,0.09155555555555556,0.15043333333333334
2020-02-24,0.221,0.1855,-0.08341999999999998
2020-02-25,0.0722,0.032600000000000004,0.09354
2020-02-26,0.0262,0.0514,-0.02676
2020-02-27,0.0,0.013000000000000001,-0.02732
2020-02-28,0.029062499999999998,0.151625,-0.22193125
2020-02-29,0.08866666666666667,0.07433333333333333,0.040733333333333344
2020-03-01,0.0,0.17728571428571427,-0.3069857142857143
2020-03-02,0.0974,0.0206,0.15914999999999999
2020-03-03,0.1422,0.0538,0.12480000000000002
2020-03-04,0.312,0.013900000000000001,0.48832000000000003
2020-03-05,0.0445,0.22269999999999998,-0.33326
2020-03-06,0.09125,0.15066666666666667,-0.09907500000000001
2020-03-07,0.0,0.22166666666666668,-0.43906666666666666
2020-03-08,0.07533333333333334,0.10049999999999999,-0.032216666666666664
2020-03-09,0.047,0.1431,-0.09468
2020-03-10,0.015,0.192,-0.32152
2020-03-11,0.052500000000000005,0.05620000000000001,-0.002970000000000006
2020-03-12,0.0,0.2307,-0.43743
2020-03-13,0.0196,0.08580000000000002,-0.08493999999999999
2020-03-14,0.0231,0.1414,-0.2237
2020-03-15,0.0329,0.079,-0.0839
2020-03-16,0.0289,0.1409,-0.19193
2020-03-17,0.1169,0.0852,0.10452000000000002
2020-03-18,0.05620000000000001,0.04,0.006670000000000009
2020-03-19,0.0783,0.0919,-0.045779999999999994
2020-03-20,0.0225,0.0268,0.019790000000000002
2020-03-21,0.020875,0.02175,0.008350000000000003
2020-03-22,0.063,0.1006,-0.09276000000000002
2020-03-23,0.049,0.1514,-0.09979
2020-03-24,0.08549999999999999,0.007299999999999999,0.11351
2020-03-25,0.05029999999999999,0.1076,-0.12339
2020-03-26,0.0675,0.0254,0.09925
2020-03-27,0.0167,0.2723,-0.44210000000000005
2020-03-28,0.07385714285714286,0.13814285714285715,-0.08307142857142857
2020-03-29,0.07683333333333332,0.06833333333333334,0.032933333333333335
2020-03-30,0.2109,0.0635,0.22896999999999998
2020-03-31,0.0153,0.2131,-0.30567
2020-04-01,0.05449999999999999,0.1944,-0.27549999999999997
2020-04-02,0.0209,0.05800000000000001,-0.09478
2020-04-03,0.1522,0.11979999999999999,-0.030889999999999994
2020-04-04,0.047499999999999994,0.02666666666666667,0.033716666666666666
2020-04-05,0.0114,0.1612,-0.31919
2020-04-06,0.0982,0.019700000000000002,0.14723999999999998
2020-04-07,0.076,0.0898,0.02332
2020-04-08,0.047799999999999995,0.0368,0.030069999999999996
2020-04-09,0.1298,0.0216,0.19126
2020-04-10,0.0937777777777778,0.06433333333333333,0.10292222222222222
2020-04-11,0.14971428571428572,0.07671428571428572,0.0618
2020-04-12,0.038,0.11516666666666665,-0.14121666666666666
2020-04-13,0.0351,0.0738,-0.06183000000000001
2020-04-14,0.1021,0.0,0.13648
2020-04-15,0.0398,0.018099999999999998,0.012199999999999999
2020-04-16,0.0595,0.0256,0.06437000000000001
2020-04-17,0.0847,0.0481,0.0693
2020-04-18,0.09659999999999999,0.11180000000000001,-0.07796
2020-04-19,0.02511111111111111,0.1408888888888889,-0.11118888888888888
2020-04-20,0.0,0.0,0.0
2020-04-21,0.0,0.081,-0.1766
2020-04-22,0.019700000000000002,0.0491,-0.04019
2020-04-23,0.0153,0.018,-0.018520000000000002
2020-04-24,0.1338,0.1038,0.02479
2020-04-25,0.106,0.12783333333333333,0.017741666666666666
2020-04-26,0.08933333333333333,0.059666666666666666,-0.032666666666666656
2020-04-27,0.047400000000000005,0.0,0.10618000000000001
2020-04-28,0.1127,0.17109999999999997,-0.029299999999999993
2020-04-29,0.1192,0.022600000000000002,0.17216
2020-04-30,0.0763,0.11739999999999999,-0.0916
2020-05-01,0.06974999999999999,0.03525,0.0693
2020-05-02,0.1035,0.15933333333333335,-0.043649999999999994
2020-05-03,0.02,0.0414,-0.03366999999999999
2020-05-04,0.0856,0.046299999999999994,0.10171000000000001
2020-05-05,0.0686,0.057699999999999994,0.047760000000000004
2020-05-06,0.09659999999999999,0.033699999999999994,0.11277
2020-05-07,0.18780000000000002,0.0162,0.30240999999999996
