Date,Adj Close,Close,High,Low,Open,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_mid,BB_pct,lag_1,lag_2,lag_3,lag_4,lag_5,Volume_MA5,Volume_MA20,OBV,GDP_Lag35,CPI_Lag35,FED_RATE_Lag35,UNRATE_Lag35,sentiment_pos,sentiment_neg,sentiment_compound
2020-01-02,8872.2197265625,8872.2197265625,8873.6298828125,8786.900390625,8802.2197265625,2862700000,8854.6919921875,8936.94697265625,9033.13349609375,80.89436449689757,0.0,0.0,0.0,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,2622806000.0,2499933500.0,0.0,21933.217,257.879,1.55,3.6,0.11032142857142854,0.01225,0.1263442857142857
2020-01-03,8793.900390625,8793.900390625,8843.650390625,8755.169921875,8755.169921875,2586520000,8854.6919921875,8936.94697265625,9033.13349609375,80.89436449689757,-6.24769631410345,-1.24953926282069,-4.99815705128276,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,2622806000.0,2499933500.0,-2586520000.0,21933.217,257.879,1.55,3.6,0.051076923076923,0.1519230769230769,-0.1782307692307692
2020-01-06,8848.51953125,8848.51953125,8849.98046875,8713.8896484375,8713.8896484375,2810450000,8854.6919921875,8936.94697265625,9033.13349609375,80.89436449689757,-6.71433381730094,-2.34249817371674,-4.3718356435842,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,2622806000.0,2499933500.0,223930000.0,21933.217,258.63,1.55,3.6,0.12659444444444443,0.0056,0.2299511111111111
2020-01-07,8846.4501953125,8846.4501953125,8872.4697265625,8821.6796875,8857.1396484375,2381740000,8854.6919921875,8936.94697265625,9033.13349609375,80.89436449689757,-7.168491607499163,-3.3076968604732246,-3.8607947470259387,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,0.006211025619897725,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,2622806000.0,2499933500.0,-2157810000.0,21933.217,258.63,1.55,3.6,0.0781,0.073,-0.0045399999999999
2020-01-08,8912.3701171875,8912.3701171875,8953.5498046875,8834.9404296875,8845.4501953125,2472620000,8854.6919921875,8936.94697265625,9033.13349609375,80.89436449689757,-2.1840517595628626,-3.0829678402911522,0.8989160807282897,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,-0.0002338623913517024,0.006211025619897725,-0.008827479295065221,-0.008827479295065221,-0.008827479295065221,2622806000.0,2499933500.0,314810000.0,21933.217,258.63,1.55,3.6,0.0762,0.0686,0.01916
2020-01-09,8989.6298828125,8989.6298828125,9004.5498046875,8938.5302734375,8990.0400390625,2540960000,8878.1740234375,8936.94697265625,9033.13349609375,80.89436449689757,7.909197820836198,-0.8845347080656824,8.79373252890188,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,0.0074515676253881225,-0.0002338623913517024,0.006211025619897725,-0.008827479295065221,-0.008827479295065221,2558458000.0,2499933500.0,2855770000.0,21933.217,258.63,1.55,3.6,0.2095,0.034,0.2435699999999999
2020-01-10,8966.6396484375,8966.6396484375,9024.8701171875,8951.830078125,9021.8798828125,2382900000,8912.721875,8936.94697265625,9033.13349609375,80.89436449689757,13.892902324616443,2.070952698470743,11.8219496261457,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,0.008668823737022047,0.0074515676253881225,-0.0002338623913517024,0.006211025619897725,-0.008827479295065221,2517734000.0,2499933500.0,472870000.0,21933.217,258.63,1.55,3.6,0.0755,0.0991666666666666,-0.0226916666666666
2020-01-13,9070.650390625,9070.650390625,9071.5302734375,8991.349609375,9007.9404296875,2536820000,8957.148046875,8936.94697265625,9033.13349609375,80.89436449689757,26.719819448522685,7.000726048481132,19.71909340004155,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,-0.002557417232377457,0.008668823737022047,0.0074515676253881225,-0.0002338623913517024,0.006211025619897725,2463008000.0,2499933500.0,3009690000.0,21933.217,258.63,1.55,3.6,0.06688333333333334,0.016999999999999998,0.11162166666666666
2020-01-14,9033.419921875,9033.419921875,9080.16015625,9020.919921875,9068.01953125,2553160000,8994.5419921875,8936.94697265625,9033.13349609375,80.89436449689757,33.49494710174258,12.299570259133423,21.195376842609157,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,0.011599745976813569,-0.002557417232377457,0.008668823737022047,0.0074515676253881225,-0.0002338623913517024,2497292000.0,2499933500.0,456530000.0,21933.217,258.63,1.55,3.6,0.0658,0.0,0.07586
2020-01-15,9035.669921875,9035.669921875,9078.8701171875,9008.9501953125,9039.3095703125,2443220000,9019.201953125,8936.94697265625,9033.13349609375,80.89436449689757,38.600873928604415,17.55983099302762,21.041042935576794,9290.7672051447,8775.499787042798,9033.13349609375,0.6998114843657539,-0.004104498260508405,0.011599745976813569,-0.002557417232377457,0.008668823737022047,0.0074515676253881225,2491412000.0,2499933500.0,2899750000.0,21933.217,258.63,1.55,3.6,0.0259,0.018,0.01255
