Date,Adj Close,Close,High,Low,Open,Volume
2020-02-03,9126.23046875,9126.23046875,9148.5,9031.0703125,9033.51953125,2427320000
2020-02-04,9334.0595703125,9334.0595703125,9352.9599609375,9224.8603515625,9256.9404296875,2447340000
2020-02-05,9367.48046875,9367.48046875,9442.75,9311.8798828125,9441.33984375,2470240000
2020-02-06,9445.919921875,9445.919921875,9448.7197265625,9357.8603515625,9395.6904296875,2313860000
2020-02-07,9401.099609375,9401.099609375,9453.240234375,9376.91015625,9397.76953125,2243720000
2020-02-10,9516.83984375,9516.83984375,9517.740234375,9373.2001953125,9373.2001953125,2187520000
2020-02-11,9517.8603515625,9517.8603515625,9600.0498046875,9493.6298828125,9567.8095703125,2450070000
2020-02-12,9613.2001953125,9613.2001953125,9615.91015625,9552.0302734375,9569.8203125,2366510000
2020-02-13,9595.7001953125,9595.7001953125,9636.41015625,9532.740234375,9540.669921875,2254870000
2020-02-14,9623.580078125,9623.580078125,9634.75,9583.080078125,9613.8798828125,2226720000
2020-02-18,9629.7998046875,9629.7998046875,9647.7197265625,9567.2802734375,9567.2802734375,2279420000
2020-02-19,9718.73046875,9718.73046875,9736.5703125,9676.0703125,9683.9404296875,2470860000
2020-02-20,9627.830078125,9627.830078125,9714.23046875,9513.23046875,9696.66015625,2745730000
2020-02-21,9446.6904296875,9446.6904296875,9594.0,9406.3798828125,9582.5400390625,2750160000
2020-02-24,9079.6298828125,9079.6298828125,9194.91015625,9028.8701171875,9055.2998046875,3188590000
2020-02-25,8834.8701171875,8834.8701171875,9183.7802734375,8807.1103515625,9167.330078125,3595520000
2020-02-26,8873.759765625,8873.759765625,9032.8798828125,8813.919921875,8883.009765625,3587950000
2020-02-27,8436.669921875,8436.669921875,8786.6796875,8430.5302734375,8632.5400390625,4559900000
