,mse,rmse,mae,mape,directional_accuracy
arima,6917448.828876171,2630.104338020865,2182.0228873189485,9.358096705041843,0.08064516129032258
xgboost,4450588.25001077,2109.6417349897993,1541.4721307103414,6.362393015426367,0.7903225806451613
lstm,10622974.40619485,3259.2904758850277,3020.069173235207,13.005240561933507,0.5443548387096774
ensemble,1519296581505.8162,1232597.493712289,1232596.7391392333,5519.839239672102,0.7903225806451613
