,mse,rmse,mae,mape,directional_accuracy
ARIMA,102120.28325061966,319.56264370326465,212.37421910022485,0.9649852407748967,0.4521276595744681
Prophet,5328889.536253213,2308.438765974357,1983.3482726588657,9.176204278909923,0.5372340425531915
XGBoost,92764.3508785152,304.57240662692215,196.3915011738956,0.8881264124559032,0.4787234042553192
LSTM,2300642.368895427,1516.7868567783105,1246.5588205089466,5.187971606967733,0.526595744680851
Ensemble,103031.25250353487,320.9848166246106,202.68734398960055,0.9165100590914684,0.48936170212765956
